Chromosome	Start	End	Strand	name	ED FOXA1	Dox FOXA1 High	Dox FOXA1 Low	Dox input	ED input	Dox H3K27ac	ED H3K27ac
chr6	26687484	26687557	+	tRNA-Ala-AGC-10-1	0.780287580892989	0.652897930218297	0.556508999551074	0.794317019453057	0.782533061199218	0.531085240260252	0.484565311995414
chr6	28763740	28763812	-	tRNA-Ala-AGC-1-1	0.106402851939953	0.124361510517771	0.097633157815978	0.0449613407237579	0.0850579414346976	0	0.0358937268144751
chr6	26572091	26572164	-	tRNA-Ala-AGC-11-1	1.04629471074287	1.50788331502797	1.27899436738931	0.434626293662993	0.510347648608186	1.38461509067851	1.13065239465597
chr6	26682714	26682787	+	tRNA-Ala-AGC-12-1	0.549748068356424	0.404174909182756	0.419822578608705	0.689407224430955	0.510347648608186	0.474183250232368	0.448671585180939
chr6	26796005	26796078	-	tRNA-Ala-AGC-12-2	0.354676173133177	0.388629720368034	0.419822578608705	0.509561861535923	0.425289707173488	0.170705970083652	0.305096677923038
chr6	58182678	58182751	-	tRNA-Ala-AGC-12-3	0.602949494326401	0.481900853256362	0.507692420643086	0.479587634386751	0.527359236895125	0.303477280148715	0.323043541330276
chr6	26705605	26705678	+	tRNA-Ala-AGC-13-1	0.815755198206307	0.68398830784774	0.654142157367053	0.644445883707197	0.561382413469004	0.606954560297431	0.717874536289502
chr6	58164627	58164700	-	tRNA-Ala-AGC-13-2	0.372409981789836	0.544081608515248	0.644378841585455	0.569510315834267	0.612417178329823	0.227607960111537	0.448671585180939
chr6	26673589	26673662	+	tRNA-Ala-AGC-14-1	0.443345216416471	0.310903776294427	0.48816578907989	0.614471656558025	0.544370825182065	0.360379270176599	0.466618448588176
chr14	89445441	89445514	+	tRNA-Ala-AGC-15-1	0.478812833729789	0.730623874291904	0.57603563111427	0.389664952939235	0.544370825182065	0.341411940167305	0.233309224294088
chr6	58196622	58196695	-	tRNA-Ala-AGC-16-1	0.390143790446495	0.326448965109149	0.458875841735097	0.479587634386751	0.391266530599609	0.303477280148715	0.287149814515801
chr6	28806220	28806292	-	tRNA-Ala-AGC-2-1	0.0532014259699765	0.124361510517771	0.0878698420343802	0.029974227149172	0.136092706295516	0.303477280148715	0.574299629031602
chr6	28831461	28831533	-	tRNA-Ala-AGC-2-2	0.124136660596612	0.217632643406099	0.136686420942369	0.0749355678729299	0.0170115882869395	0.303477280148715	0.448671585180939
chr6	28574932	28575004	+	tRNA-Ala-AGC-3-1	0.372409981789836	0.295358587479706	0.253846210321543	0.104909795022102	0.170115882869395	0.208640630102242	0.197415497479613
chr6	28626013	28626085	-	tRNA-Ala-AGC-4-1	0.230539512536565	0.419720097997477	0.234319578758347	0.194832476469618	0.221150647730214	0.0948366500464736	0.0358937268144751
chr6	28678365	28678437	+	tRNA-Ala-AGC-5-1	0.106402851939953	0.0777259440736068	0.048816578907989	0.164858249320446	0.119081118008577	0.0758693200371788	0.179468634072376
chr6	28779848	28779920	-	tRNA-Ala-AGC-6-1	0.0354676173133177	0.0466355664441641	0.0097633157815978	0.029974227149172	0.0170115882869395	0	0.0358937268144751
chr6	28687480	28687552	+	tRNA-Ala-AGC-7-1	0.141870469253271	0.155451888147214	0.195266315631956	0.14987113574586	0.170115882869395	0.113803980055768	0.0897343170361878
chr2	27274081	27274154	+	tRNA-Ala-AGC-8-1	0.673884728953036	0.870530573624396	0.75177531518303	0.329716498640892	0.255173824304093	3.83140066187753	4.21751290070083
chr8	67026423	67026496	+	tRNA-Ala-AGC-8-2	0.390143790446495	0.606262363774133	0.517455736424683	0.22480670361879	0.289197000877972	7.39725870362494	6.98132986541541
chr6	26730736	26730809	+	tRNA-Ala-AGC-9-1	0.709352346266354	0.699533496662461	0.517455736424683	0.344703612215478	0.578394001755944	0.341411940167305	0.394830994959226
chr6	26771289	26771362	-	tRNA-Ala-AGC-9-2	0.638417111639718	0.699533496662461	0.449112525953499	0.419639180088407	0.459312883747367	0.284509950139421	0.376884131551989
chr6	26553730	26553802	+	tRNA-Ala-CGC-1-1	0.798021389549648	0.668443119033019	0.702958736275041	0.329716498640892	0.459312883747367	0.720758540353199	0.915290033769115
chr6	28641612	28641684	-	tRNA-Ala-CGC-2-1	0.3014747471632	0.264268209850263	0.214792947195152	0.254780930767962	0.238162236017153	0.0948366500464736	0.161521770665138
chr2	157257280	157257352	+	tRNA-Ala-CGC-3-1	0.815755198206307	1.25916029399243	0.97633157815978	0.269768044342548	0.323220177451851	4.05900862198907	5.27637784172784
chr6	28697091	28697163	+	tRNA-Ala-CGC-4-1	0.0886690432832942	0.124361510517771	0.0683432104711846	0.0899226814475159	0.0680463531477581	0.0379346600185894	0.0897343170361878
chr6	28757546	28757618	-	tRNA-Ala-TGC-1-1	0.0709352346266354	0.0621807552588855	0.097633157815978	0.029974227149172	0.102069529721637	0.0569019900278841	0.0358937268144751
chr6	28611221	28611293	+	tRNA-Ala-TGC-2-1	0.266007129849883	0.155451888147214	0.244082894539945	0.14987113574586	0.187127471156335	0.0758693200371788	0.107681180443425
chr5	180633867	180633939	+	tRNA-Ala-TGC-3-1	0.709352346266354	0.699533496662461	0.800591894091019	0.509561861535923	0.408278118886549	2.61749154128267	2.58434833064221
chr12	125406300	125406372	-	tRNA-Ala-TGC-3-2	0.798021389549648	0.901620951253839	0.771301946746226	0.22480670361879	0.35724335402573	0.360379270176599	0.574299629031602
chr12	125424511	125424583	+	tRNA-Ala-TGC-4-1	0.993093284772895	1.24361510517771	1.24970442004452	0.404652066513821	0.35724335402573	2.21917761108748	3.58937268144751
chr6	28785011	28785083	-	tRNA-Ala-TGC-5-1	0.0354676173133177	0.0932711328883282	0.097633157815978	0.0449613407237579	0.102069529721637	0.0189673300092947	0.0538405902217127
chr6	28726140	28726212	-	tRNA-Ala-TGC-6-1	0.0177338086566588	0.139906699332492	0.0878698420343802	0.0449613407237579	0.0510347648608186	0.0379346600185894	0.0717874536289502
chr6	28770576	28770647	-	tRNA-Ala-TGC-7-1	0.0709352346266354	0.139906699332492	0.136686420942369	0.014987113574586	0.0850579414346976	0.0948366500464736	0.107681180443425
chr6	26328367	26328440	+	tRNA-Arg-ACG-1-1	0.76255377223633	0.886075762439118	0.937278315033389	0.29974227149172	0.35724335402573	0.32244461015801	0.412777858366464
chr6	26537725	26537798	+	tRNA-Arg-ACG-1-2	0.957625667459578	1.18143434991882	1.12278131488375	0.524548975110509	0.595405590042883	1.7829290208737	3.58937268144751
chr14	23398909	23398982	+	tRNA-Arg-ACG-1-3	0.957625667459578	1.18143434991882	1.17159789379174	0.674420110856369	0.663451943190641	3.11064212152433	4.9712811638048
chr3	45730490	45730563	-	tRNA-Arg-ACG-2-1	0.514280451043106	0.575171986144691	0.468639157516694	0.209819590044204	0.204139059443274	2.27607960111537	3.5355320912258
